,MACH,RE,ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,FX,FY,FZ,TX,TY,TZ
0,0.3,7000000,-14.974,-3.35,15.921,-3.662,7.202,-1.704,0.1279,0.297,-2.0701,0.0051,0.1663,-0.0547
1,0.3,7000000,-10.485,-3.35,15.921,-3.662,7.202,-1.704,0.1713,0.308,-1.3661,0.0001,0.0889,-0.0497
2,0.3,7000000,-8.861,-3.35,15.921,-3.662,7.202,-1.704,0.1815,0.2569,-1.1247,-0.0056,0.0674,-0.0322
3,0.3,7000000,-5.75,-3.35,15.921,-3.662,7.202,-1.704,0.1938,0.2919,-0.6839,-0.0076,0.0307,-0.0435
4,0.3,7000000,-2.185,-3.35,15.921,-3.662,7.202,-1.704,0.1984,0.3906,-0.2549,-0.0041,0.0046,-0.078
5,0.3,7000000,1.03,-3.35,15.921,-3.662,7.202,-1.704,0.1978,0.4248,0.0875,-0.0027,-0.0099,-0.0894
6,0.3,7000000,1.527,-3.35,15.921,-3.662,7.202,-1.704,0.1975,0.4157,0.1392,-0.003,-0.0117,-0.0864
7,0.3,7000000,2.278,-3.35,15.921,-3.662,7.202,-1.704,0.1967,0.3957,0.2157,-0.0037,-0.0136,-0.0796
8,0.3,7000000,3.259,-3.35,15.921,-3.662,7.202,-1.704,0.1955,0.3727,0.3139,-0.0053,-0.0152,-0.0716
9,0.3,7000000,4.902,-3.35,15.921,-3.662,7.202,-1.704,0.1923,0.3388,0.5136,-0.0069,-0.0277,-0.0593
10,0.3,7000000,6.409,-3.35,15.921,-3.662,7.202,-1.704,0.1878,0.2973,0.7345,-0.0073,-0.0492,-0.0448
11,0.3,7000000,7.044,-3.35,15.921,-3.662,7.202,-1.704,0.1854,0.2757,0.8258,-0.008,-0.0571,-0.0374
12,0.3,7000000,10.638,-3.35,15.921,-3.662,7.202,-1.704,0.1671,0.2788,1.3569,-0.004,-0.1041,-0.0411
13,0.3,7000000,13.398,-3.35,15.921,-3.662,7.202,-1.704,0.1451,0.3396,1.7877,0.0018,-0.1458,-0.0645
14,0.3,7000000,-14.974,-3.35,15.921,-3.662,7.202,-1.704,0.1279,0.297,-2.0701,0.0051,0.1663,-0.0547
15,0.3,7000000,-10.485,-3.35,15.921,-3.662,7.202,-1.704,0.1713,0.308,-1.3661,0.0001,0.0889,-0.0497
16,0.3,7000000,-8.861,-3.35,15.921,-3.662,7.202,-1.704,0.1815,0.2569,-1.1247,-0.0056,0.0674,-0.0322
17,0.3,7000000,-5.75,-3.35,15.921,-3.662,7.202,-1.704,0.1938,0.2919,-0.6839,-0.0076,0.0307,-0.0435
18,0.3,7000000,-2.185,-3.35,15.921,-3.662,7.202,-1.704,0.1984,0.3906,-0.2549,-0.0041,0.0046,-0.078
19,0.3,7000000,1.03,-3.35,15.921,-3.662,7.202,-1.704,0.1978,0.4248,0.0875,-0.0027,-0.0099,-0.0894
20,0.3,7000000,1.527,-3.35,15.921,-3.662,7.202,-1.704,0.1975,0.4157,0.1392,-0.003,-0.0117,-0.0864
21,0.3,7000000,2.278,-3.35,15.921,-3.662,7.202,-1.704,0.1967,0.3957,0.2157,-0.0037,-0.0136,-0.0796
22,0.3,7000000,3.259,-3.35,15.921,-3.662,7.202,-1.704,0.1955,0.3727,0.3139,-0.0053,-0.0152,-0.0716
23,0.3,7000000,4.902,-3.35,15.921,-3.662,7.202,-1.704,0.1923,0.3388,0.5136,-0.0069,-0.0277,-0.0593
24,0.3,7000000,6.409,-3.35,15.921,-3.662,7.202,-1.704,0.1878,0.2973,0.7345,-0.0073,-0.0492,-0.0448
25,0.3,7000000,7.044,-3.35,15.921,-3.662,7.202,-1.704,0.1854,0.2757,0.8258,-0.008,-0.0571,-0.0374
26,0.3,7000000,10.638,-3.35,15.921,-3.662,7.202,-1.704,0.1671,0.2788,1.3569,-0.004,-0.1041,-0.0411
27,0.3,7000000,13.398,-3.35,15.921,-3.662,7.202,-1.704,0.1451,0.3396,1.7877,0.0018,-0.1458,-0.0645
28,0.3,7000000,-14.015,-2.73,-6.255,-2.897,-14.703,1.506,0.1439,0.0219,-1.9443,-0.0025,0.136,0.0149
29,0.3,7000000,-12.125,-2.73,-6.255,-2.897,-14.703,1.506,0.1596,0.0689,-1.6445,-0.0005,0.1025,0.0041
30,0.3,7000000,-10.768,-2.73,-6.255,-2.897,-14.703,1.506,0.1687,0.1237,-1.4368,0.002,0.0823,-0.0109
31,0.3,7000000,-8.771,-2.73,-6.255,-2.897,-14.703,1.506,0.1788,0.2358,-1.138,0.0078,0.0548,-0.0436
