MACH,RE,ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,FX,FY,FZ,TX,TY,TZ
0.15,3500000,-15.119,14.28,-22.051,17.915,11.62,-14.381,0.0425,-0.3189,-0.3725,0.002,-0.03,-0.0382
0.15,3500000,-13.849,14.28,-22.051,17.915,11.62,-14.381,0.0494,-0.3452,-0.2951,-0.0009,-0.0419,-0.0236
0.15,3500000,-8.858,14.28,-22.051,17.915,11.62,-14.381,0.0727,-0.457,0.003,-0.0131,-0.0904,0.0395
0.15,3500000,-6.99,14.28,-22.051,17.915,11.62,-14.381,0.0804,-0.5015,0.1136,-0.0179,-0.1078,0.0645
0.15,3500000,-6.796,14.28,-22.051,17.915,11.62,-14.381,0.0811,-0.5062,0.1251,-0.0184,-0.1095,0.0671
0.15,3500000,-5.786,14.28,-22.051,17.915,11.62,-14.381,0.0851,-0.5306,0.1845,-0.021,-0.1183,0.0807
0.15,3500000,-2.381,14.28,-22.051,17.915,11.62,-14.381,0.0963,-0.6126,0.376,-0.0296,-0.1459,0.1253
0.15,3500000,2.361,14.28,-22.051,17.915,11.62,-14.381,0.1075,-0.7438,0.6485,-0.0419,-0.1854,0.192
0.15,3500000,4.062,14.28,-22.051,17.915,11.62,-14.381,0.1098,-0.7962,0.7489,-0.0465,-0.2009,0.2174
0.15,3500000,5.207,14.28,-22.051,17.915,11.62,-14.381,0.1108,-0.8317,0.8161,-0.0495,-0.2113,0.2343
0.15,3500000,5.354,14.28,-22.051,17.915,11.62,-14.381,0.1109,-0.8362,0.8247,-0.0498,-0.2126,0.2365
0.15,3500000,10.475,14.28,-22.051,17.915,11.62,-14.381,0.1104,-1.0085,1.1464,-0.063,-0.2642,0.3175
0.15,3500000,12.496,14.28,-22.051,17.915,11.62,-14.381,0.1068,-1.0808,1.2774,-0.0682,-0.2886,0.3517
0.15,3500000,15.918,14.28,-22.051,17.915,11.62,-14.381,0.0949,-1.1947,1.484,-0.0752,-0.3315,0.4057
0.15,3500000,18.299,14.28,-22.051,17.915,11.62,-14.381,0.0844,-1.2616,1.6196,-0.0791,-0.3575,0.438
0.3,7000000,-15.119,14.28,-22.051,17.915,11.62,-14.381,0.0407,-0.3277,-0.382,0.002,-0.0293,-0.0376
0.3,7000000,-13.849,14.28,-22.051,17.915,11.62,-14.381,0.0477,-0.3534,-0.3029,-0.0009,-0.0414,-0.0229
0.3,7000000,-8.858,14.28,-22.051,17.915,11.62,-14.381,0.0715,-0.4634,-0.0002,-0.0131,-0.0904,0.0403
0.3,7000000,-6.99,14.28,-22.051,17.915,11.62,-14.381,0.0793,-0.5073,0.1116,-0.0179,-0.1079,0.0653
0.3,7000000,-6.796,14.28,-22.051,17.915,11.62,-14.381,0.0801,-0.5119,0.1231,-0.0184,-0.1097,0.0679
0.3,7000000,-5.786,14.28,-22.051,17.915,11.62,-14.381,0.0841,-0.5361,0.183,-0.021,-0.1186,0.0814
0.3,7000000,-2.381,14.28,-22.051,17.915,11.62,-14.381,0.0953,-0.6174,0.3754,-0.0297,-0.1463,0.126
0.3,7000000,2.361,14.28,-22.051,17.915,11.62,-14.381,0.1063,-0.7487,0.6488,-0.042,-0.1863,0.1928
0.3,7000000,4.062,14.28,-22.051,17.915,11.62,-14.381,0.1086,-0.8012,0.7493,-0.0465,-0.2019,0.2182
0.3,7000000,5.207,14.28,-22.051,17.915,11.62,-14.381,0.1095,-0.8367,0.8164,-0.0494,-0.2123,0.2351
0.3,7000000,5.354,14.28,-22.051,17.915,11.62,-14.381,0.1096,-0.8412,0.825,-0.0498,-0.2136,0.2372
0.3,7000000,10.475,14.28,-22.051,17.915,11.62,-14.381,0.1084,-1.013,1.1457,-0.0628,-0.265,0.3174
0.3,7000000,12.496,14.28,-22.051,17.915,11.62,-14.381,0.1044,-1.0857,1.2767,-0.0678,-0.2897,0.3514
0.3,7000000,15.918,14.28,-22.051,17.915,11.62,-14.381,0.0921,-1.1989,1.4852,-0.0748,-0.3315,0.4044
0.3,7000000,18.299,14.28,-22.051,17.915,11.62,-14.381,0.0811,-1.2654,1.6225,-0.0785,-0.357,0.436
0.45,10000000,-15.119,14.28,-22.051,17.915,11.62,-14.381,0.0388,-0.3364,-0.3915,0.002,-0.0286,-0.037
